Дата (Год + Месяц)	Количество
2000-M01	462523.419
2000-M02	633208.196
2000-M03	660159.299
2000-M04	617455.3417
2000-M05	597354.4794
2000-M06	793517.4512
2000-M07	1015944.2862
2000-M08	1148052.2523
2000-M09	1156623.1715
2000-M10	1255021.9423
2000-M11	1410114.5606
2000-M12	1357230.3388
2001-M01	1003317.7317
2001-M02	1097048.6263
2001-M03	1498977.3427
2001-M04	1507696.4482
2001-M05	1520761.5589
2001-M06	1602674.5245
2001-M07	1685899.1625
2001-M08	1899255.945
2001-M09	1716804.1633
2001-M10	2069772.3982
2001-M11	2016227.4267
2001-M12	1817580.4566
2002-M01	1493788.5092
2002-M02	1449402.666
2002-M03	1734310.2126
2002-M04	2068457.1962
2002-M05	1899233.8657
2002-M06	2083559.1009
2002-M07	2157181.3292
2002-M08	2161689.8556
2002-M09	2315556.804
2002-M10	2367611.5581
2002-M11	2110853.3582
2002-M12	2297331.2201
2003-M01	1496683.6138
2003-M02	1629978.7451
2003-M03	2475066.1411
2003-M04	2662780.6707
2003-M05	1812054.126
2003-M06	1963250.105
2003-M07	2270090.9725
2003-M08	2187333.2802
2003-M09	2329833.1753
2003-M10	2409688.3666
2003-M11	1919027.6622
2003-M12	1851642.2624
2004-M01	1434352.5952
2004-M02	1452569.6819
