Дата	Посещения
01.01.2009	163,654
01.12.2008	180,472
01.11.2008	184,68
01.10.2008	190,564
01.09.2008	164,578
01.08.2008	135,374
01.07.2008	149,139
01.06.2008	143,683
01.05.2008	166,933
01.04.2008	175,628
01.03.2008	166,566
01.02.2008	146,956
01.01.2008	134,038
01.12.2007	125,492
01.11.2007	116,524
01.10.2007	93,105
01.09.2007	71,027
01.08.2007	71,521
01.07.2007	71,373
01.06.2007	72,156
01.05.2007	87,942
01.04.2007	95,806
01.03.2007	89,811
01.02.2007	71,568
01.01.2007	60,116
01.12.2006	72,343
01.11.2006	69,289
01.10.2006	64,311
01.09.2006	41,618
01.08.2006	44,248
01.07.2006	42,249
01.06.2006	44,954
01.05.2006	50,783
01.04.2006	48,438
01.03.2006	43,263
01.02.2006	36,676
01.01.2006	29,697
01.12.2005	35,217
01.11.2005	36,749
